Landslide ID,Description,Size Category,Trigger,Date of Occurrence,X Co-ordinate,Y Co-ordinate,Debris Type,Material Type,Movement Type,Aspect,Activity,Vegetation Cover,Causal Factors,Damage Description,No. of Slips,Injuries,Deaths,Damage Cost,Environmental Effects,Comments,Area (min),Area (max),Volume (min),Volume (max),Data Source
34,"Duvauchelle, Pipers Valley and Okains Bay Rds, Banks Peninsula",2,101,null,172.956397822561,-43.7481357617592,2,2,6,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
35,"Northland",1,2,null,174.318521270032,-35.7030364233956,101,101,102,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
36,"Karangahake Gorge",1,2,null,175.753769458251,-37.4156510950726,101,101,102,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
37,"Kawhia Rd, Raglan, Waikato; 2km south of Bridal Veil Falls",2,2,null,174.914424710182,-37.9201112401194,2,2,4,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
38,"Observation Point - Flagstaff Hill, Beach Street, Port Chalmers",1,101,null,170.626389346665,-45.8159216639145,2,1,2,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
39,"Blacks Rd, Dunedin",1,2,1997-01-12,170.529594391044,-45.8526667314443,2,2,8,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
40,"SH88 Ravensbourne, Dunedin",1,2,1997-01-12,170.548332747563,-45.8665511842362,2,2,3,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
41,"Upper Wanaka Street, Ravensbourne, Dunedin",1,2,1997-01-12,170.553631681908,-45.8630593630663,2,2,4,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
42,"SH2, Waioeka Gorge at Sandy's Bridge near start of the gorge",2,2,1997-06-11,177.395193192204,-38.3187008361777,2,1,4,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
43,"Puketapu Rd, Napier, 200m on the HDC side of the boundary",1,2,1997-07-03,176.816942872562,-39.5090244302751,2,2,101,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
44,"Milton Rd, Napier",1,2,1997-07-03,176.897926576404,-39.4900812118106,2,2,101,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
45,"Shakespeare Rd, Napier",1,2,1997-07-03,176.907688700162,-39.4939874936604,2,2,101,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
46,"Coote Rd, Napier",1,2,1997-07-03,176.907688700162,-39.4939874936604,2,2,101,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
47,"Breakwater Rd, Napier",1,2,1997-07-03,176.918747997013,-39.4776534746292,2,2,101,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
48,"Breakwater Rd, Napier",1,2,1997-07-03,176.918747997013,-39.4776534746292,2,2,101,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
49,"Raupunga, SH2, 85km north of Napier",2,101,1997-07-04,177.145935664406,-39.0747500779614,101,2,3,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
50,"Kanakanaia Valley, Waihora River, East Cape",1,2,1997-07-06,177.966876848813,-38.3982329291614,2,2,10,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
51,"Kanakanaia Valley, Waihora River, East Cape",2,2,1997-07-06,177.966876848813,-38.3982329291614,2,2,10,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
52,"Ngauranga Gorge, Newlands interchange SH1, Wellington",2,101,1997-07-30,174.809846102295,-41.2321965030214,2,2,4,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
53,"Mt Adams, south of Harihari, Westland",3,2,1997-08-12,170.560882140406,-43.2603694263229,2,1,4,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
54,"Patea Dam, Patea River, Taranaki",3,101,1997-08-14,174.567017467615,-39.5458020100659,2,2,6,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
55,"Mt Adams, south of Harihari, Westland",3,101,1997-08-23,170.560882140406,-43.2603694263229,2,1,4,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
56,"Buffalo Beach Rd, Whitianga, Coromandel",1,2,1997-09-24,175.70020730448,-36.798192225406,2,2,10,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
57,"Hahei, Florence Place 5 and 6, Coromandel",1,2,1997-09-24,175.814171044736,-36.8443487321434,2,2,10,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
58,"Scenic Drive, Waitakeres, Waiatura side of Arataki VC",1,2,1997-09-28,174.601331738297,-36.9455125676706,101,101,101,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
59,"Beach Rd, CBD, Auckland",1,2,1997-09-28,174.772813804736,-36.8454640519022,2,2,3,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
60,"35a, 35b Shore Rd, Remuera, Auckland",1,2,1997-09-28,174.795699919001,-36.8631094721558,2,2,4,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
61,"Whangaroa cemetery",1,2,1997-10-01,173.741442391002,-35.0539423645138,101,2,3,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
62,"Station Rd, Dargaville, Northland",2,2,1997-10-09,173.868737210499,-35.9360376566274,2,2,4,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
63,"south side of the Brynderwyn Hills",1,2,1997-10-09,174.421862670299,-36.0756821424856,101,101,101,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
64,"Upland Rd, Kelburn, Wellington",1,101,1997-10-14,174.761223490727,-41.2878871267955,2,2,4,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
65,"Carpark at Franz Josef Glacier",2,2,1997-11-29,170.16803303259,-43.4277969412913,2,2,4,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
66,"Blackball, West Coast",1,2,1997-12-16,171.413250277089,-42.3642535233846,2,2,10,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
67,"Tutukaka, Northland",1,2,null,174.524205772578,-35.6100551380292,2,2,4,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
68,"Shotover River, between Deep Creek and Arthurs Point",1,100,null,168.652741976682,-44.9389925059406,2,2,4,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
69,"SH6, east of Cobden Bridge (Auto Diesels)",1,101,null,171.22278292827,-42.444260910924,2,1,2,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
70,"Waihi, Coromandel, Netball Courts",2,100,null,175.838685048289,-37.39097932605,2,101,5,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
71,"Whakaki, east of Wairoa",2,2,null,177.55021604938,-39.0315660349647,101,1,4,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
72,"Wairoa - Nuhaka",2,2,null,177.671804185505,-38.9625819683172,101,101,101,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
73,"Ocean Beach Rd, Hawke's Bay",2,2,null,177.000214331428,-39.731579219847,2,2,3,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
74,"Takaka Hill, Tasman District",1,101,1998-02-18,172.905046142558,-41.0265788602862,1,1,2,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
75,"Titirangi, Auckland",1,101,1998-02-25,174.651712200425,-36.9393354250302,101,2,4,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
76,"Dargaville, Northland",1,101,1998-04-04,173.870386595625,-35.9351213183796,1,1,2,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
77,"Pukekohe, Auckland",1,2,1998-05-01,174.8762938495,-37.2312771866421,101,101,101,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
78,"Northland, Wellington",1,2,1998-07-04,174.757939489095,-41.2766787936893,2,2,4,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
79,"Pyes Pa Road, Tauranga, Bay Of Plenty",2,2,1998-07-10,176.127666260695,-37.8214608130655,2,2,4,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
80,"Mangonui, Northland",1,101,1998-07-15,173.531485525449,-34.9924236436844,101,101,101,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
81,"Albany Auckland",1,101,1998-07-15,174.69188544738,-36.7237488139081,101,101,101,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
82,"Tamaki Drive, Auckland",1,2,1998-07-15,174.829504936977,-36.8476670805699,101,2,4,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
83,"SH1, Mercer, Waikato",1,101,1998-07-15,175.047858469782,-37.2773063404496,101,101,101,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
84,"Landslide, Melville, Hamilton, Waikato",2,2,1998-07-15,175.29061423922,-37.803435998271,101,101,101,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
85,"SH 1 Brynderwyns",2,2,1998-07-28,174.429521834711,-36.0967561108357,101,101,101,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
86,"SH 16, Warkworth",2,2,1998-07-28,174.473332435234,-36.3259649890512,101,101,101,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
87,"Cove Road, Waipu",2,2,1998-07-28,174.470052059076,-35.9934422451012,101,101,101,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
88,"McKenzie Bay, Whangarei, Northland",2,2,1998-07-28,174.531890793725,-35.8321162634995,2,2,4,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
89,"Fosters Bay Rd, Auckland",1,2,1998-07-28,174.640562195673,-36.9660949869356,101,101,101,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
90,"Landslide dammed lake, Makakaho Stream, Waitotatara",2,2,1998-07-28,174.823212328789,-39.5734921395111,2,2,101,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
91,"Whakatete Bay, Thames",1,2,1998-08-11,175.516058815875,-37.0890916779426,2,2,101,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
92,"Vivian Street, New Plymouth",1,101,1998-08-17,174.07393771944,-39.0619837429129,1,1,101,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
93,"Debris flow, Oaonui and Waiaua streams, Taranaki",3,2,1998-08-18,174.002746904625,-39.3216623889119,2,2,4,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
94,"Landslide, Fenton Cres., St Clair, Dunedin",2,2,1998-09-04,170.48389576028,-45.9120174816396,2,2,3,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
95,"Landslide, State Highway 1, Mercer, Waikato",2,2,1998-09-22,175.047858469782,-37.2773063404496,101,101,101,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
96,"10 Mile Valley, Greymouth, West Coast",2,101,1998-09-25,171.29555129953,-42.3395850015818,1,1,2,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
97,"Landslide, Poynters Cres, Nelson",1,100,1998-10-09,173.268684855313,-41.2662940955407,101,101,101,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
98,"Debris flow, Tatarainaka, Taranaki",2,2,1998-10-11,174.025076087222,-39.1529927156237,2,2,10,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
99,"Landslide, Kelson, Lower Hutt, Wellington",2,2,1998-10-11,174.938270827503,-41.1769763753162,2,2,4,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
100,"Landslide, Waioeka Gorge (25km from Opotiki)",1,2,1998-10-19,177.314620323484,-38.2270701705403,101,101,101,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
101,"Landslide SH 1, Pukerua Bay",1,2,1998-10-23,174.899475865191,-41.0299023265959,2,2,2,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
102,"Landslide Paekakariki Road",1,2,1998-10-23,174.934084733631,-41.033832139355,2,2,2,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
103,"Landslide SH1, Paraparaumu #1",1,2,1998-10-23,174.976858671476,-40.9124068319711,2,101,101,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
104,"Landslide SH1, Paraparaumu #2",1,2,1998-10-23,174.976977349276,-40.9124048005842,2,101,101,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
105,"Landslide SH1, Paraparaumu #3",1,2,1998-10-23,174.977096027067,-40.9124027690763,2,101,101,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
106,"Landslide SH1, Paraparaumu #4",1,2,1998-10-23,174.97721470485,-40.9124007374475,2,101,101,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
107,"Landslide SH1, Paraparaumu #5",1,2,1998-10-23,174.977333382624,-40.9123987056977,2,101,101,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
108,"Landslide SH1, Paraparaumu #6",1,2,1998-10-23,174.97745206039,-40.912396673827,2,101,101,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
109,"Landslide SH1, Paraparaumu #7",1,2,1998-10-23,174.977570738147,-40.9123946418353,2,101,101,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
110,"Landslide SH1, Paraparaumu #8",1,2,1998-10-23,174.977808093635,-40.912390577489,2,101,101,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
111,"Landslide SH1, Paraparaumu #9",1,2,1998-10-23,174.977926771366,-40.9123885451344,2,101,101,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
112,"Landslide SH1, Paraparaumu #10",1,2,1998-10-23,174.978045449089,-40.9123865126588,2,101,101,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
113,"Landslide Boat City #1",1,2,1998-10-23,175.018395224288,-40.9116884691275,2,2,10,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
114,"Landslide Boat City #2",1,2,1998-10-23,175.018513898076,-40.9116863954727,2,2,10,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
115,"Landslide Boat City #3",1,2,1998-10-23,175.018632571855,-40.9116843216969,2,2,10,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
116,"Landslide Boat City #4",1,2,1998-10-23,175.018751245626,-40.9116822478002,2,2,10,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
117,"Landslide Waikanae Downs Estate",1,2,1998-10-23,175.048556941389,-40.8886377983973,2,2,10,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
118,"Landslide Tuapaka Hill #1, Otaki",1,2,1998-10-23,175.170796626693,-40.8152405540345,2,2,10,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
119,"Landslide Tuapaka Hill #2, Otaki",1,2,1998-10-23,175.17091512325,-40.8152383262604,2,2,10,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
120,"Landslide Tuapaka Hill #3, Otaki",1,2,1998-10-23,175.171033619798,-40.8152360983659,2,2,10,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
121,"Landslide Tuapaka Hill #4, Otaki",1,2,1998-10-23,175.171152116337,-40.8152338703509,2,2,10,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
122,"Landslide Tuapaka Hill #5, Otaki",1,2,1998-10-23,175.171270612866,-40.8152316422155,2,2,10,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
123,"Landslide Tuapaka Hill #6, Otaki",1,2,1998-10-23,175.171389109385,-40.8152294139597,2,2,4,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
124,"Landslide Tuapaka Hill #7, Otaki",1,2,1998-10-23,175.171507605896,-40.8152271855835,2,2,4,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
125,"Landslide Tuapaka Hill #8, Otaki",1,2,1998-10-23,175.171626102396,-40.8152249570868,2,2,4,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
126,"Landslide Tuapaka Hill #9, Otaki",1,2,1998-10-23,175.171744598888,-40.8152227284697,2,2,4,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
127,"Landslide Tuapaka Hill #10, Otaki",1,2,1998-10-23,175.171863095369,-40.8152204997322,2,2,4,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
128,"Landslide Otaki Gorge Rd., Otaki River #3",1,2,1998-10-23,175.19793189934,-40.8111239020469,101,101,101,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
129,"Landslide Otaki Gorge Rd., Otaki River #4",1,2,1998-10-23,175.200212559648,-40.8083779529241,101,101,101,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
130,"Landslide Otaki Gorge Rd., Pukehinau Stream #1",1,2,1998-10-23,175.214291752226,-40.8396381125783,2,2,101,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
